Dataset,Augmentation technique,Dataset Reduction (r),Experiment #,Training Epochs,Test loss,Test accuracy
TREC,Augmentation with max. window size 3,1.0,9.5,387.85,1.8875264344999998,52.202971130499996
TREC,No Augmentation,0.013228266,9.5,159.95,3.7490191341000005,12.727273106599998
TREC,No Augmentation,0.026872146,9.5,308.25,3.12942432155,25.227273182699996
TREC,No Augmentation,0.040958608,9.5,319.2,3.097043597799999,22.794118197099994
TREC,No Augmentation,0.055517328,9.5,457.25,2.86699814805,31.666667390000004
TREC,No Augmentation,0.07058107400000001,9.5,432.1,2.91015998125,31.491227895499996
TREC,No Augmentation,0.086186148,9.5,487.85,2.8157633066499996,31.85714373479999
TREC,No Augmentation,0.102372909,9.5,559.6,2.6637252689,35.240963550000004
TREC,No Augmentation,0.11918640800000001,9.5,540.3,2.5269273042499996,36.70103020949999
TREC,No Augmentation,0.13667714,9.5,601.2,2.67067958125,34.63963955449999
TREC,No Augmentation,0.15490196,9.5,644.6,2.45806794165,40.51587373
TREC,No Augmentation,0.173925197,9.5,658.95,2.4939945340500005,39.184397011499996
TREC,No Augmentation,0.193820026,9.5,668.1,2.35963139535,42.452229111
TREC,No Augmentation,0.214670165,9.5,718.9,2.4532684684499997,39.8275862635
TREC,No Augmentation,0.236572006,9.5,757.75,2.36297217605,42.1614582835
TREC,No Augmentation,0.25963731100000004,9.5,737.95,2.34087245475,41.809524298
TREC,No Augmentation,0.283996656,9.5,582.55,2.33054953805,44.08695623300001
TREC,No Augmentation,0.30980392,9.5,552.7,2.2431312443499998,44.900399745
TREC,No Augmentation,0.33724216799999995,9.5,541.7,2.2187631547499995,45.3296709075
TREC,No Augmentation,0.366531544,9.5,556.6,2.1277736425500002,46.73986494500001
TREC,No Augmentation,0.397940009,9.5,549.55,2.1357291699000003,47.84161463400001
TREC,No Augmentation,0.43179827600000004,9.5,569.05,2.0696281016,47.8510025145
TREC,No Augmentation,0.46852108299999995,9.5,565.95,2.0331854046,48.90501305399999
TREC,No Augmentation,0.508638306,9.5,572.1,2.0595420718,47.858880907999996
TREC,No Augmentation,0.5528419689999999,9.5,519.55,1.9831667662000005,50.65995514400001
TREC,No Augmentation,0.602059991,9.5,476.75,1.9496626436999995,50.29774174
TREC,No Augmentation,0.6575773189999999,9.5,499.9,1.9539735793000002,50.451977252999995
TREC,No Augmentation,0.7212463990000001,9.5,512.1,1.8910588800500001,51.972555518499995
TREC,No Augmentation,0.795880017,9.5,505.8,1.8567274034499999,52.28615805599999
TREC,No Augmentation,0.886056648,9.5,449.35,1.8420121313,53.023742735999996
TREC,No Augmentation,1.0,9.5,471.55,1.7953907071000004,53.82425636050001
Tag My News (Titles Only),Augmentation with max. window size 2,0.013228266,9.5,218.9,1.495370084,45.961538701500004
Tag My News (Titles Only),Augmentation with max. window size 2,0.026872146,9.5,235.95,1.41821672905,52.3529428245
Tag My News (Titles Only),Augmentation with max. window size 2,0.040958608,9.5,290.5,1.1755154460500004,60.384616553499995
Tag My News (Titles Only),Augmentation with max. window size 2,0.055517328,9.5,292.15,1.1767930449,61.28571636950001
Tag My News (Titles Only),Augmentation with max. window size 2,0.07058107400000001,9.5,296.7,1.14780031145,62.4253737925
Tag My News (Titles Only),Augmentation with max. window size 2,0.086186148,9.5,328.9,1.1158300668500003,64.07975435249999
Tag My News (Titles Only),Augmentation with max. window size 2,0.102372909,9.5,324.85,1.0852658599999998,65.87628811649999
Tag My News (Titles Only),Augmentation with max. window size 2,0.11918640800000001,9.5,264.9,1.06076648835,65.88888824
Tag My News (Titles Only),Augmentation with max. window size 2,0.13667714,9.5,223.3,1.0391810298,66.86046510899999
Tag My News (Titles Only),Augmentation with max. window size 2,0.15490196,9.5,224.6,0.9865767896,68.7030720705
Tag My News (Titles Only),Augmentation with max. window size 2,0.173925197,9.5,233.6,0.9996072411500002,68.419452905
Tag My News (Titles Only),Augmentation with max. window size 2,0.193820026,9.5,236.2,0.9743388145999999,69.3306010955
Tag My News (Titles Only),Augmentation with max. window size 2,0.214670165,9.5,229.45,0.9971788912499999,68.38669925949999
Tag My News (Titles Only),Augmentation with max. window size 2,0.236572006,9.5,207.1,0.9608584314499999,69.8210284115
Tag My News (Titles Only),Augmentation with max. window size 2,0.25963731100000004,9.5,186.2,0.9538250148499999,69.60204124350001
Tag My News (Titles Only),Augmentation with max. window size 2,0.283996656,9.5,192.55,0.9081412702499998,71.59514903850001
Tag My News (Titles Only),Augmentation with max. window size 2,0.30980392,9.5,189.65,0.9332640468500001,70.564104318
Tag My News (Titles Only),Augmentation with max. window size 2,0.33724216799999995,9.5,189.1,0.9194618523500001,71.02825730949999
Tag My News (Titles Only),Augmentation with max. window size 2,0.366531544,9.5,169.6,0.8977499902499998,71.83526098649999
Tag My News (Titles Only),Augmentation with max. window size 2,0.397940009,9.5,163.65,0.8858675987,72.0439413195
